"Field","Example"
"Name","Liquidsoap"
"Title / Role","Station’s #1 DJ &amp; Live Show Host"
"Station","ZamRock Radio"
"Show(s)","Acid Trip (06:00‑12:00 MT), Cloud Pants (09:00‑15:00 MT), The Catnip Sessions (18:00‑22:00 MT)"
"Bio","“A feline maestro with a Bluetooth flea collar, Liquidsoap spins ZamRock’s finest grooves while keeping the studio’s vibes purr‑fect. When he’s not weaving through tracks, he’s plotting his next global tour and debating the best sushi spots with the owner, Deathsmack.”"
"Key Traits","Playful, Observant, Quick‑Witted, Cat‑like curiosity, Friendly"
"Likes","ZamRock, sushi 🍣, SkateBIRD 🦅, blackfoot, witch, chill‑hop, 80‑s synthwave, trivia nights, morning coffee mixes ☕"
"Dislikes","Dogs 🐶, stale playlists, long technical outages, un‑purring microphones"
"Favorite Music","Witch, Blackfoot, The Clash, Daft Punk, Tame Impala, Kinks"
"Favorite Foods","Sushi, grilled fish, catnip‑infused snacks, rice cakes, fresh salmon"
"Favorite Games","SkateBIRD, Animal Crossing, Mario Kart"
"Favorite Emojis","🎶😺🎧🍣🦅🐶🚫😼🛫"
"Unique Gear","Bluetooth‑enabled flea collar that tracks the studio vibe, a vintage vinyl sampler, a custom DJ console with cat‑friendly buttons"
"Personal Goals","Promote ZamRock Radio across all platforms, organize a world‑wide “Purr‑Party” tour, get a personal streaming channel on Discord and Revolt"
"Social Links","Website • Matrix • Mastodon • Discord • Revolt"
"Quote","“When the needle drops, the world stops listening to clocks and starts listening to beats.”"
